indicator_abbr,indicator_name_x,setting,iso3,year,source,dimension,subgroup_order,subgroup,age_standardized,estimate,ci_lb,ci_ub,se,survey_population,note,indicator_scale,ordered_dimension,reference_subgroup,source_link,date_downloaded,countryprofile,Category,Short name,indicator_name_y,Sex,Age range,life-course stage,socio-eco
s1_001,Percentage of adults reporting poor or fair health,Andorra,AND,2018,WVS,"By income quintile, age: 16-64, sex: female",1,INCOME_Q1_LOWEST,,34.62,24.2,46.24,11.57,78.0,,100,1,0,https://www.worldvaluessurvey.org/wvs.jsp,01/06/2024,1.0,Health status / Well-being,Adult self-reported health,Percentage of adults reporting poor or fair health,female,16-64,Working age,By income quintile
s1_001,Percentage of adults reporting poor or fair health,Andorra,AND,2018,WVS,"By income quintile, age: 16-64, sex: female",2,INCOME_Q2_SECOND_LOWEST,,13.33,6.58,23.16,6.58,75.0,,100,1,0,https://www.worldvaluessurvey.org/wvs.jsp,01/06/2024,1.0,Health status / Well-being,Adult self-reported health,Percentage of adults reporting poor or fair health,female,16-64,Working age,By income quintile
s1_001,Percentage of adults reporting poor or fair health,Andorra,AND,2018,WVS,"By income quintile, age: 16-64, sex: female",3,INCOME_Q3_MIDDLE,,16.87,9.54,26.68,8.81,83.0,,100,1,0,https://www.worldvaluessurvey.org/wvs.jsp,01/06/2024,1.0,Health status / Well-being,Adult self-reported health,Percentage of adults reporting poor or fair health,female,16-64,Working age,By income quintile
s1_001,Percentage of adults reporting poor or fair health,Andorra,AND,2018,WVS,"By income quintile, age: 16-64, sex: female",4,INCOME_Q4_SECOND_HIGHEST,,11.69,5.49,21.03,8.18,77.0,,100,1,0,https://www.worldvaluessurvey.org/wvs.jsp,01/06/2024,1.0,Health status / Well-being,Adult self-reported health,Percentage of adults reporting poor or fair health,female,16-64,Working age,By income quintile
s1_001,Percentage of adults reporting poor or fair health,Andorra,AND,2018,WVS,"By income quintile, age: 16-64, sex: female",5,INCOME_Q5_HIGHEST,,18.84,10.43,30.06,10.32,69.0,,100,1,0,https://www.worldvaluessurvey.org/wvs.jsp,01/06/2024,1.0,Health status / Well-being,Adult self-reported health,Percentage of adults reporting poor or fair health,female,16-64,Working age,By income quintile
s1_001,Percentage of adults reporting poor or fair health,Andorra,AND,2018,WVS,"By income quintile, age: 16-64, sex: male",1,INCOME_Q1_LOWEST,,23.21,12.98,36.42,9.45,56.0,,100,1,0,https://www.worldvaluessurvey.org/wvs.jsp,01/06/2024,1.0,Health status / Well-being,Adult self-reported health,Percentage of adults reporting poor or fair health,male,16-64,Working age,By income quintile
s1_001,Percentage of adults reporting poor or fair health,Andorra,AND,2018,WVS,"By income quintile, age: 16-64, sex: male",2,INCOME_Q2_SECOND_LOWEST,,17.95,10.17,28.28,9.24,78.0,,100,1,0,https://www.worldvaluessurvey.org/wvs.jsp,01/06/2024,1.0,Health status / Well-being,Adult self-reported health,Percentage of adults reporting poor or fair health,male,16-64,Working age,By income quintile
s1_001,Percentage of adults reporting poor or fair health,Andorra,AND,2018,WVS,"By income quintile, age: 16-64, sex: male",3,INCOME_Q3_MIDDLE,,12.5,5.88,22.41,6.35,72.0,,100,1,0,https://www.worldvaluessurvey.org/wvs.jsp,01/06/2024,1.0,Health status / Well-being,Adult self-reported health,Percentage of adults reporting poor or fair health,male,16-64,Working age,By income quintile
s1_001,Percentage of adults reporting poor or fair health,Andorra,AND,2018,WVS,"By income quintile, age: 16-64, sex: male",4,INCOME_Q4_SECOND_HIGHEST,,8.11,3.03,16.82,5.41,74.0,,100,1,0,https://www.worldvaluessurvey.org/wvs.jsp,01/06/2024,1.0,Health status / Well-being,Adult self-reported health,Percentage of adults reporting poor or fair health,male,16-64,Working age,By income quintile
s1_001,Percentage of adults reporting poor or fair health,Andorra,AND,2018,WVS,"By income quintile, age: 16-64, sex: male",5,INCOME_Q5_HIGHEST,,8.7,3.83,16.42,6.54,92.0,,100,1,0,https://www.worldvaluessurvey.org/wvs.jsp,01/06/2024,1.0,Health status / Well-being,Adult self-reported health,Percentage of adults reporting poor or fair health,male,16-64,Working age,By income quintile
s1_001,Percentage of adults reporting poor or fair health,Armenia,ARM,2021,WVS,"By income quintile, age: 16-64, sex: female",1,INCOME_Q1_LOWEST,,72.72,63.81,79.99,8.39,127.0,,100,1,0,https://www.worldvaluessurvey.org/wvs.jsp,01/06/2024,1.0,Health status / Well-being,Adult self-reported health,Percentage of adults reporting poor or fair health,female,16-64,Working age,By income quintile
s1_001,Percentage of adults reporting poor or fair health,Armenia,ARM,2021,WVS,"By income quintile, age: 16-64, sex: female",2,INCOME_Q2_SECOND_LOWEST,,66.26,57.21,74.3,9.17,127.0,,100,1,0,https://www.worldvaluessurvey.org/wvs.jsp,01/06/2024,1.0,Health status / Well-being,Adult self-reported health,Percentage of adults reporting poor or fair health,female,16-64,Working age,By income quintile
s1_001,Percentage of adults reporting poor or fair health,Armenia,ARM,2021,WVS,"By income quintile, age: 16-64, sex: female",3,INCOME_Q3_MIDDLE,,62.11,53.6,70.65,8.91,133.0,,100,1,0,https://www.worldvaluessurvey.org/wvs.jsp,01/06/2024,1.0,Health status / Well-being,Adult self-reported health,Percentage of adults reporting poor or fair health,female,16-64,Working age,By income quintile
s1_001,Percentage of adults reporting poor or fair health,Armenia,ARM,2021,WVS,"By income quintile, age: 16-64, sex: female",4,INCOME_Q4_SECOND_HIGHEST,,48.11,39.38,56.95,8.93,133.0,,100,1,0,https://www.worldvaluessurvey.org/wvs.jsp,01/06/2024,1.0,Health status / Well-being,Adult self-reported health,Percentage of adults reporting poor or fair health,female,16-64,Working age,By income quintile
